,resource_state,name,distance,moving_time,elapsed_time,total_elevation_gain,type,sport_type,workout_type,id,start_date,start_date_local,timezone,utc_offset,location_city,location_state,location_country,achievement_count,kudos_count,comment_count,athlete_count,photo_count,trainer,commute,manual,private,visibility,flagged,gear_id,start_latlng,end_latlng,average_speed,max_speed,average_cadence,has_heartrate,average_heartrate,max_heartrate,heartrate_opt_out,display_hide_heartrate_option,elev_high,elev_low
16,2,Evening Run,21081.3,8101,8496,42.4,Run,Run,,14585859433,2025-05-24T14:00:57Z,2025-05-24T19:30:57Z,(GMT+05:30) Asia/Kolkata,19800,,,,0,3,0,1,0,FALSE,FALSE,FALSE,FALSE,everyone,FALSE,,"[18.516787, 73.926479]","[18.51666, 73.926349]",2.602,4.198,78,TRUE,176.7,193,TRUE,TRUE,649,631.9
17,2,Morning Yoga,0,395,395,0,Yoga,Yoga,,14623109164,2025-05-22T02:43:14Z,2025-05-22T08:13:14Z,(GMT+05:30) Asia/Kolkata,19800,,,,0,0,0,1,0,TRUE,FALSE,FALSE,FALSE,everyone,FALSE,,[],[],0,0,,TRUE,99.9,127,FALSE,TRUE,0,0
18,2,Morning Workout,0,1719,1719,0,Workout,Workout,,14585859246,2025-05-22T02:26:43Z,2025-05-22T07:56:43Z,(GMT+05:30) Asia/Kolkata,19800,,,,0,1,0,1,0,TRUE,FALSE,FALSE,FALSE,everyone,FALSE,,[],[],0,0,,TRUE,131,151,FALSE,TRUE,0,0
19,2,Morning Run,6016.1,2275,2275,13.1,Run,Run,0,14556653446,2025-05-22T01:25:07Z,2025-05-22T06:55:07Z,(GMT+05:30) Asia/Kolkata,19800,,,,0,3,0,1,0,FALSE,FALSE,FALSE,FALSE,everyone,FALSE,,"[18.516741, 73.926469]","[18.516834, 73.926554]",2.644,5.25,78.1,TRUE,174.3,191,TRUE,TRUE,623.6,617.1
20,2,Morning Yoga,0,625,625,0,Yoga,Yoga,,14535227711,2025-05-20T02:37:54Z,2025-05-20T08:07:54Z,(GMT+05:30) Asia/Kolkata,19800,,,,0,3,0,1,0,TRUE,FALSE,FALSE,FALSE,everyone,FALSE,,[],[],0,0,,TRUE,119.6,149,FALSE,TRUE,0,0
21,2,Morning Run,5504.9,2077,2077,9.2,Run,Run,,14535227712,2025-05-20T01:51:37Z,2025-05-20T07:21:37Z,(GMT+05:30) Asia/Kolkata,19800,,,,0,3,0,1,0,FALSE,FALSE,FALSE,FALSE,everyone,FALSE,,"[18.516727, 73.926551]","[18.518489, 73.927863]",2.65,3.635,78.3,TRUE,173.5,188,FALSE,TRUE,603.5,594
22,2,Morning Workout,0,2733,2733,0,Workout,Workout,,14525188867,2025-05-19T03:19:18Z,2025-05-19T08:49:18Z,(GMT+05:30) Asia/Kolkata,19800,,,,0,2,0,1,0,TRUE,FALSE,FALSE,FALSE,everyone,FALSE,,[],[],0,0,,TRUE,115.5,164,FALSE,TRUE,0,0
23,2,Morning Yoga,0,611,611,0,Yoga,Yoga,,14525188837,2025-05-17T02:39:06Z,2025-05-17T08:09:06Z,(GMT+05:30) Asia/Kolkata,19800,,,,0,1,0,1,0,TRUE,FALSE,FALSE,FALSE,everyone,FALSE,,[],[],0,0,,TRUE,112.7,145,FALSE,TRUE,0,0
24,2,Morning Run,12032.6,4850,5021,24.1,Run,Run,,14503715221,2025-05-17T00:49:17Z,2025-05-17T06:19:17Z,(GMT+05:30) Asia/Kolkata,19800,,,,0,2,0,1,0,FALSE,FALSE,FALSE,FALSE,everyone,FALSE,,"[18.516723, 73.926478]","[18.516945, 73.926395]",2.481,3.91,77.1,TRUE,172.8,195,TRUE,TRUE,583.9,573.5
25,2,Morning Workout,0,2696,2696,0,Workout,Workout,,14494605498,2025-05-16T02:06:12Z,2025-05-16T07:36:12Z,(GMT+05:30) Asia/Kolkata,19800,,,,0,3,0,1,0,TRUE,FALSE,FALSE,FALSE,everyone,FALSE,,[],[],0,0,,TRUE,98.9,136,FALSE,TRUE,0,0
26,2,Morning Yoga,0,779,779,0,Yoga,Yoga,,14494605413,2025-05-15T02:44:54Z,2025-05-15T08:14:54Z,(GMT+05:30) Asia/Kolkata,19800,,,,0,1,0,1,0,TRUE,FALSE,FALSE,FALSE,everyone,FALSE,,[],[],0,0,,TRUE,125.5,150,FALSE,TRUE,0,0
27,2,Morning Run,6011.1,2286,2289,11.8,Run,Run,0,14484458293,2025-05-15T01:44:28Z,2025-05-15T07:14:28Z,(GMT+05:30) Asia/Kolkata,19800,,,,0,3,0,1,0,FALSE,FALSE,FALSE,FALSE,everyone,FALSE,,"[18.516728, 73.926499]","[18.518328, 73.926298]",2.63,4.225,78.2,TRUE,175.1,193,TRUE,TRUE,576.3,568.3
28,2,Morning Yoga,0,1292,1292,0,Workout,Yoga,,14473666333,2025-05-14T02:17:16Z,2025-05-14T07:47:16Z,(GMT+05:30) Asia/Kolkata,19800,,,,0,3,0,1,0,TRUE,FALSE,FALSE,FALSE,everyone,FALSE,,[],[],0,0,,TRUE,117.1,152,FALSE,TRUE,0,0
29,2,Morning Yoga,0,707,707,0,Yoga,Yoga,,14473666309,2025-05-13T02:32:24Z,2025-05-13T08:02:24Z,(GMT+05:30) Asia/Kolkata,19800,,,,0,1,0,1,0,TRUE,FALSE,FALSE,FALSE,everyone,FALSE,,[],[],0,0,,TRUE,107,138,FALSE,TRUE,0,0
30,2,Morning Run,4019.8,1548,1553,6,Run,Run,,14473663795,2025-05-13T01:42:34Z,2025-05-13T07:12:34Z,(GMT+05:30) Asia/Kolkata,19800,,,,0,1,0,1,0,FALSE,FALSE,FALSE,FALSE,everyone,FALSE,,"[18.516797, 73.926427]","[18.51849, 73.928399]",2.597,3.448,77.6,TRUE,165.6,182,FALSE,TRUE,582.3,573.1
31,2,Morning Yoga,0,3289,3289,0,Yoga,Yoga,,14452265763,2025-05-12T01:56:05Z,2025-05-12T07:26:05Z,(GMT+05:30) Asia/Kolkata,19800,,,,0,3,0,1,0,TRUE,FALSE,FALSE,FALSE,everyone,FALSE,,[],[],0,0,,TRUE,102.8,146,FALSE,TRUE,0,0
32,2,Morning Yoga (Post run cool down),0,457,457,0,Yoga,Yoga,,14390785695,2025-05-06T01:35:00Z,2025-05-06T07:05:00Z,(GMT+05:30) Asia/Kolkata,19800,,,,0,3,0,1,0,TRUE,FALSE,FALSE,FALSE,everyone,FALSE,,[],[],0,0,,TRUE,107,136,FALSE,TRUE,0,0
33,2,Morning Run,5033,1944,1998,12.4,Run,Run,,14390785741,2025-05-06T00:51:24Z,2025-05-06T06:21:24Z,(GMT+05:30) Asia/Kolkata,19800,,,,0,5,0,1,0,FALSE,FALSE,FALSE,FALSE,everyone,FALSE,,"[28.602711, 77.450973]","[28.603998, 77.448761]",2.589,4.4,,TRUE,165.2,182,FALSE,TRUE,213.9,201
